kay_code,id,darting_date,disappeared,mortality_source,death_date,clan
212,wash,6/30/97,8/27/97,humans,8/27/97,talek
213,mali,7/4/97,1/13/06,,NA,talek
216,dna,11/7/97,12/9/99,,NA,talek
231,puc,3/14/98,12/23/06,,NA,talek
249,csn,1/29/99,5/3/05,lions,5/3/05,talek
258,her,8/11/99,1/10/03,,NA,talek
259,sch,6/24/99,4/5/00,lions,4/5/00,talek
262,cpa,7/4/99,2/9/02,,NA,talek
263,tsa,7/4/99,8/2/01,,NA,talek
267,jut,7/11/99,11/24/03,,NA,talek
268,gdz,7/21/99,9/29/00,,NA,talek
271,ind,10/4/99,8/18/02,,NA,talek
272,coo,9/12/99,12/7/05,croc?,12/6/05,talek
275,cam,9/21/99,10/23/06,,NA,talek
283,zim,11/7/99,12/12/02,,NA,talek
286,ath,11/26/99,3/31/04,snake bite,3/31/04,talek
290,cyp,12/18/99,12/18/99,lions,12/18/99,talek
71,pt,11/13/91,7/14/96,,NA,talek
74,who,11/27/91,12/21/06,,NA,talek
76,hob,6/14/92,5/6/99,,NA,talek
82,ger,7/12/93,6/2/05,humans,6/2/05,talek
83,bern,7/19/93,9/4/00,lions,NA,talek
84,baj,7/14/93,11/18/96,,NA,talek
87,gil,7/18/93,10/26/98,,NA,talek
89,gol,5/26/92,3/15/01,humans (speared),3/14/01,talek
96,jab,12/8/92,4/26/98,,NA,talek
98,krk,12/9/92,2/6/94,,NA,talek
124,rm,8/27/94,9/12/96,,NA,talek
130,kl,12/17/94,12/30/94,,NA,talek
173,pf,6/21/96,7/28/96,humans,7/28/96,talek
174,arse,8/9/96,8/9/96,humans (us),8/9/96,talek
18,bud,12/1/90,7/18/92,,NA,talek
202,oly,6/12/97,6/20/99,,NA,talek
223,sks,7/31/97,4/21/98,,NA,talek
237,ldv,3/7/99,4/24/07,lions,4/23/07,talek
243,yet,10/20/98,3/13/01,,NA,talek
248,whh,2/22/99,10/22/04,,10/15/04,talek
251,cuj,5/11/99,6/3/01,,NA,talek
253,ali,4/26/99,6/11/17,,NA,talek
265,foz,8/19/99,4/12/11,lions,4/11/11,talek
278,sco,10/25/99,7/24/02,,NA,talek
29,sx,12/28/90,7/7/00,,NA,talek
51,pp,7/11/91,10/12/93,,NA,talek
