ID,Session,note_quality,food_present,no_intx_yes_no,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes
5460,t82406,2,FALSE,FALSE,adon,00-Jan-00,1,scan,,20,FALSE,,scan
5461,t82406,2,FALSE,FALSE,parc,00-Jan-00,1,scan,,20,FALSE,,scan
5462,t72266,2,FALSE,FALSE,hel,00-Jan-00,1,dist,,30,FALSE,,
5463,t72266,2,FALSE,FALSE,loki,00-Jan-00,1,dist,,30,FALSE,,
5464,t72266,2,FALSE,FALSE,unid1,00-Jan-00,1,dist,,30,FALSE,,
5465,t72266,2,FALSE,FALSE,dion,00-Jan-00,2,dist,,30,FALSE,,
5466,t72266,2,FALSE,FALSE,dion,00-Jan-00,1,runs,,,FALSE,,ran because a male lion moved
5467,t72266,2,FALSE,FALSE,loki,00-Jan-00,1,runs,,,FALSE,,ran because a male lion moved
5468,t72266,2,FALSE,FALSE,hel,00-Jan-00,1,runs,,,FALSE,,ran because a male lion moved
5469,t72266,2,FALSE,FALSE,unid1,00-Jan-00,1,runs,,,FALSE,,ran because a male lion moved
5470,t72266,2,FALSE,FALSE,mgta,00-Jan-00,1,whoop,,,FALSE,,"c=arr, lions"
5471,t72266,2,FALSE,FALSE,hel,00-Jan-00,2,soc snf,,,FALSE,,
5472,t72266,2,FALSE,FALSE,dion,00-Jan-00,2,soc snf,,,FALSE,,
5473,t72266,2,FALSE,FALSE,loki,00-Jan-00,2,soc snf,,,FALSE,,
5474,t78815,2,FALSE,FALSE,scmp,00-Jan-00,1,whoop (8x),,,FALSE,,
5475,t78815,2,FALSE,FALSE,scmp,00-Jan-00,4,whoop (6x),,,FALSE,,c=lions
5476,t78815,2,FALSE,FALSE,pant,00-Jan-00,1,dist,,7,FALSE,,
5477,t78815,2,FALSE,FALSE,scmp,00-Jan-00,2,whoop (6x),,,FALSE,,c=intx
5478,t78815,2,FALSE,FALSE,hel,00-Jan-00,1,scan,,25-40,FALSE,,
5479,t78815,2,FALSE,FALSE,tgpi,00-Jan-00,1,scan,,25-40,FALSE,,
