"clan","session","location","date","start","stop","no_intx_yes_no"
"talek","t14470.8","k",1998-01-03,2018-01-01 06:59:00,2018-01-01 07:09:00,FALSE
"talek","t14471.4","k",1998-01-03,2018-01-01 07:34:00,2018-01-01 07:55:00,TRUE
"talek","t14480.6","k",1998-01-06,2018-01-01 06:19:00,2018-01-01 06:24:00,TRUE
"talek","t14581","o",1998-01-28,2018-01-01 08:19:00,2018-01-01 08:26:00,TRUE
"talek","t14626","o",1998-02-02,2018-01-01 06:56:00,2018-01-01 07:08:00,TRUE
"talek","t14632","k",1998-02-03,2018-01-01 07:10:00,2018-01-01 08:01:00,FALSE
"talek","t1468.1","o",1991-02-02,2018-01-01 07:20:00,2018-01-01 08:18:00,TRUE
"talek","t14687.2","o",1998-02-14,2018-01-01 18:35:00,2018-01-01 18:40:00,TRUE
"talek","t14743","k",1998-02-27,2018-01-01 18:29:00,2018-01-01 18:50:00,FALSE
"talek","t1480.2","o",1991-02-08,2018-01-01 07:23:00,2018-01-01 07:28:00,TRUE
"talek","t14802.1","o",1998-03-18,2018-01-01 07:47:00,2018-01-01 08:00:00,TRUE
"talek","t14815","k",1998-03-20,2018-01-01 07:49:00,2018-01-01 08:02:00,TRUE
"talek","t14998.1","o",1998-06-17,2018-01-01 06:08:00,2018-01-01 06:23:00,TRUE
"talek","t15042.2","o",1998-06-27,2018-01-01 18:41:00,2018-01-01 18:53:00,TRUE
"talek","t15074.1","o",1998-07-06,2018-01-01 06:19:00,2018-01-01 06:24:00,FALSE
"talek","t15089.3","k",1998-07-09,2018-01-01 08:08:00,2018-01-01 08:13:00,TRUE
"talek","t15102.2","o",1998-07-12,2018-01-01 18:01:00,2018-01-01 18:06:00,TRUE
"talek","t15103.1","o",1998-07-12,2018-01-01 18:41:00,2018-01-01 19:08:00,FALSE
"talek","t15106","k",1998-07-13,2018-01-01 07:36:00,2018-01-01 07:53:00,FALSE
"talek","t15170","c",1998-07-28,2018-01-01 07:03:00,2018-01-01 08:06:00,FALSE
"talek","t1525.3","o",1991-03-09,2018-01-01 07:05:00,2018-01-01 07:20:00,TRUE
"talek","t15257.4","o",1998-08-18,2018-01-01 07:12:00,2018-01-01 07:17:00,FALSE
"talek","t1529.1","d",1991-03-11,2018-01-01 06:40:00,2018-01-01 06:55:00,TRUE
"talek","t15304.2","o",1998-09-09,2018-01-01 06:35:00,2018-01-01 06:40:00,FALSE
"talek","t15357","k",1998-10-02,2018-01-01 06:34:00,2018-01-01 08:03:00,FALSE
"talek","t15382","c",1998-10-06,2018-01-01 06:28:00,2018-01-01 06:43:00,TRUE
"talek","t15398.4","o",1998-10-10,2018-01-01 07:26:00,2018-01-01 07:31:00,TRUE
"talek","t15465","k",1998-10-25,2018-01-01 05:59:00,2018-01-01 06:52:00,FALSE
"talek","t15467.1","c",1998-10-25,2018-01-01 18:28:00,2018-01-01 19:25:00,FALSE
"talek","t15488","o",1998-10-30,2018-01-01 06:05:00,2018-01-01 07:16:00,FALSE
"talek","t15491.1","o",1998-10-31,2018-01-01 06:23:00,2018-01-01 06:28:00,TRUE
"talek","t15668","k",1998-11-10,2018-01-01 06:10:00,2018-01-01 07:23:00,FALSE
"talek","t15675","o",1998-11-10,2018-01-01 18:01:00,2018-01-01 18:17:00,TRUE
"talek","t15682","o",1998-11-10,2018-01-01 18:50:00,2018-01-01 19:00:00,TRUE
"talek","t1569.3","o",1991-05-27,2018-01-01 06:58:00,2018-01-01 10:28:00,FALSE
"talek","t15703","k",1998-11-11,2018-01-01 07:13:00,2018-01-01 07:41:00,TRUE
"talek","t15756","k",1998-11-14,2018-01-01 06:37:00,2018-01-01 07:06:00,TRUE
"talek","t15766","k",1998-11-21,2018-01-01 06:03:00,2018-01-01 06:54:00,TRUE
"talek","t1578.1","o",1991-06-04,2018-01-01 17:30:00,2018-01-01 18:02:00,TRUE
"talek","t15821","o",1998-11-24,2018-01-01 06:52:00,2018-01-01 06:58:00,FALSE
"talek","t15881","k",1998-11-28,2018-01-01 06:01:00,2018-01-01 06:09:00,FALSE
"talek","t1589","o",1991-06-16,2018-01-01 06:44:00,2018-01-01 08:00:00,TRUE
"talek","t1598","k",1991-06-28,2018-01-01 17:10:00,2018-01-01 18:34:00,FALSE
"talek","t1602.1","k",1991-06-30,2018-01-01 17:33:00,2018-01-01 18:38:00,TRUE
"talek","t1603.1","k",1991-07-01,2018-01-01 06:34:00,2018-01-01 08:15:00,FALSE
"talek","t1605","k",1991-07-02,2018-01-01 16:20:00,2018-01-01 19:00:00,FALSE
"talek","t1612","k",1991-07-06,2018-01-01 17:20:00,2018-01-01 17:31:00,TRUE
"talek","t1625","o",1991-07-12,2018-01-01 06:35:00,2018-01-01 06:40:00,TRUE
"talek","t1627","k",1991-07-13,2018-01-01 06:07:00,2018-01-01 07:10:00,FALSE
"talek","t16309","k",1998-12-17,2018-01-01 06:33:00,2018-01-01 07:30:00,FALSE
"talek","t1636.1","k",1991-07-24,2018-01-01 06:40:00,2018-01-01 06:45:00,TRUE
"talek","t1637.1","k",1991-07-24,2018-01-01 18:38:00,2018-01-01 18:43:00,TRUE
"talek","t1638","k",1991-07-25,2018-01-01 06:25:00,2018-01-01 07:10:00,TRUE
"talek","t16391","k",1998-12-22,2018-01-01 05:52:00,2018-01-01 06:37:00,FALSE
"talek","t16441","o",1998-12-24,2018-01-01 06:33:00,2018-01-01 06:38:00,TRUE
"talek","t1651.2","k",1991-07-31,2018-01-01 07:13:00,2018-01-01 08:15:00,FALSE
"talek","t16522","k",1998-12-28,2018-01-01 18:10:00,2018-01-01 18:15:00,TRUE
"talek","t1654.8","o",1991-08-01,2018-01-01 16:50:00,2018-01-01 16:55:00,TRUE
"talek","t1659","o",1991-08-03,2018-01-01 07:05:00,2018-01-01 07:21:00,TRUE
"talek","t16676","k",1999-01-06,2018-01-01 07:18:00,2018-01-01 08:24:00,FALSE
"talek","t167","d",1988-10-10,2018-01-01 17:41:00,2018-01-01 18:44:00,TRUE
"talek","t1672","k",1991-08-11,2018-01-01 06:30:00,2018-01-01 06:55:00,TRUE
"talek","t16794","o",1999-01-16,2018-01-01 08:11:00,2018-01-01 08:16:00,TRUE
"talek","t16814","o",1999-01-25,2018-01-01 06:52:00,2018-01-01 06:57:00,TRUE
"talek","t16815","k",1999-01-25,2018-01-01 07:32:00,2018-01-01 07:44:00,TRUE
"talek","t16847","o",1999-01-27,2018-01-01 07:55:00,2018-01-01 08:33:00,FALSE
"talek","t1697","o",1991-08-30,2018-01-01 18:20:00,2018-01-01 18:25:00,TRUE
"talek","t17","d",1988-07-02,2018-01-01 06:34:00,2018-01-01 06:49:00,TRUE
"talek","t17.1","o",1988-07-02,2018-01-01 06:55:00,2018-01-01 07:00:00,TRUE
"talek","t1701.6","k",1991-09-01,2018-01-01 07:40:00,2018-01-01 07:45:00,TRUE
"talek","t17071","o",1999-02-12,2018-01-01 08:19:00,2018-01-01 08:24:00,TRUE
"talek","t1712.1","o",1991-09-05,2018-01-01 06:56:00,2018-01-01 07:44:00,TRUE
"talek","t17246","o",1999-02-25,2018-01-01 19:01:00,2018-01-01 19:13:00,TRUE
"talek","t1738","o",1991-09-14,2018-01-01 06:25:00,2018-01-01 06:30:00,TRUE
"talek","t1738.6","o",1991-09-14,2018-01-01 07:00:00,2018-01-01 08:23:00,FALSE
"talek","t1738.7","o",1991-09-14,2018-01-01 08:32:00,2018-01-01 09:25:00,TRUE
"talek","t17418","k",1999-03-09,2018-01-01 07:15:00,2018-01-01 07:27:00,TRUE
"talek","t1748.3","k",1991-09-20,2018-01-01 06:59:00,2018-01-01 08:00:00,TRUE
"talek","t17492","k",1999-03-17,2018-01-01 06:46:00,2018-01-01 07:49:00,FALSE
"talek","t1754.1","k",1991-09-21,2018-01-01 06:27:00,2018-01-01 08:25:00,TRUE
"talek","t17679","k",1999-04-14,2018-01-01 06:51:00,2018-01-01 07:22:00,FALSE
"talek","t17789","c",1999-04-20,2018-01-01 17:46:00,2018-01-01 18:26:00,FALSE
"talek","t17926","o",1999-04-27,2018-01-01 06:37:00,2018-01-01 06:43:00,TRUE
"talek","t17955","c",1999-04-28,2018-01-01 06:50:00,2018-01-01 07:48:00,TRUE
"talek","t18010","k",1999-05-01,2018-01-01 07:58:00,2018-01-01 08:30:00,FALSE
"talek","t18128","o",1999-05-07,2018-01-01 07:05:00,2018-01-01 07:10:00,TRUE
"talek","t1818","d",1991-10-25,2018-01-01 05:17:00,2018-01-01 07:55:00,TRUE
"talek","t18204","o",1999-05-11,2018-01-01 06:36:00,2018-01-01 06:41:00,TRUE
"talek","t1823","k",1991-10-27,2018-01-01 06:30:00,2018-01-01 06:50:00,TRUE
"talek","t1825","o",1991-10-28,2018-01-01 06:26:00,2018-01-01 07:39:00,TRUE
"talek","t18344","k",1999-05-22,2018-01-01 07:17:00,2018-01-01 07:42:00,TRUE
